date,state,daily
6/28/21,Perak,7101
6/28/21,Perlis,574
6/28/21,Pulau Pinang,12366
6/28/21,Sabah,10640
6/28/21,Sarawak,53714
6/28/21,Selangor,39428
6/28/21,Terengganu,4839
6/28/21,W.P. Kuala Lumpur,35183
6/28/21,W.P. Labuan,2036
6/28/21,W.P. Putrajaya,1265
6/29/21,Johor,15292
6/29/21,Kedah,9994
6/29/21,Kelantan,9451
6/29/21,Melaka,6521
6/29/21,Negeri Sembilan,7696
6/29/21,Pahang,10314
6/29/21,Perak,8592
6/29/21,Perlis,1160
6/29/21,Pulau Pinang,15267
6/29/21,Sabah,11303
6/29/21,Sarawak,47970
6/29/21,Selangor,49210
6/29/21,Terengganu,4490
6/29/21,W.P. Kuala Lumpur,41731
6/29/21,W.P. Labuan,2453
6/29/21,W.P. Putrajaya,1549
6/30/21,Johor,18065
6/30/21,Kedah,8439
6/30/21,Kelantan,11633
6/30/21,Melaka,8348
6/30/21,Negeri Sembilan,9182
6/30/21,Pahang,10817
6/30/21,Perak,14488
6/30/21,Perlis,1730
6/30/21,Pulau Pinang,15476
6/30/21,Sabah,11941
6/30/21,Sarawak,46072
6/30/21,Selangor,59007
6/30/21,Terengganu,6065
6/30/21,W.P. Kuala Lumpur,44056
6/30/21,W.P. Labuan,2491
6/30/21,W.P. Putrajaya,1722
7/1/21,Johor,19401
7/1/21,Kedah,9774
7/1/21,Kelantan,9650
7/1/21,Melaka,7763
7/1/21,Negeri Sembilan,10990
7/1/21,Pahang,8081
7/1/21,Perak,15964
7/1/21,Perlis,2141
7/1/21,Pulau Pinang,14254
7/1/21,Sabah,10753
7/1/21,Sarawak,50974
7/1/21,Selangor,55094
7/1/21,Terengganu,5190
7/1/21,W.P. Kuala Lumpur,45530
7/1/21,W.P. Labuan,2069
7/1/21,W.P. Putrajaya,1738
7/2/21,Johor,9459
7/2/21,Kedah,5296
7/2/21,Kelantan,1042
7/2/21,Melaka,7856
7/2/21,Negeri Sembilan,10636
7/2/21,Pahang,6990
7/2/21,Perak,19410
7/2/21,Perlis,1714
7/2/21,Pulau Pinang,15762
7/2/21,Sabah,11750
7/2/21,Sarawak,41717
7/2/21,Selangor,53648
7/2/21,Terengganu,1240
7/2/21,W.P. Kuala Lumpur,50320
7/2/21,W.P. Labuan,1378
7/2/21,W.P. Putrajaya,1783
7/3/21,Johor,12263
7/3/21,Kedah,6829
7/3/21,Kelantan,638
7/3/21,Melaka,7334
7/3/21,Negeri Sembilan,4304
7/3/21,Pahang,5494
7/3/21,Perak,17585
7/3/21,Perlis,464
7/3/21,Pulau Pinang,11029
7/3/21,Sabah,12026
7/3/21,Sarawak,50203
7/3/21,Selangor,41728
7/3/21,Terengganu,8710
7/3/21,W.P. Kuala Lumpur,42128
7/3/21,W.P. Labuan,1357
7/3/21,W.P. Putrajaya,940
7/4/21,Johor,14765
7/4/21,Kedah,11745
7/4/21,Kelantan,10416
7/4/21,Melaka,0
7/4/21,Negeri Sembilan,4406
7/4/21,Pahang,1961
7/4/21,Perak,16044
7/4/21,Perlis,416
7/4/21,Pulau Pinang,7147
7/4/21,Sabah,8477
7/4/21,Sarawak,41454
7/4/21,Selangor,42044
7/4/21,Terengganu,8989
7/4/21,W.P. Kuala Lumpur,45067
7/4/21,W.P. Labuan,960
7/4/21,W.P. Putrajaya,985
7/5/21,Johor,19190
7/5/21,Kedah,13155
7/5/21,Kelantan,12594
7/5/21,Melaka,7854
7/5/21,Negeri Sembilan,12842
7/5/21,Pahang,10037
7/5/21,Perak,22633
7/5/21,Perlis,2557
7/5/21,Pulau Pinang,15612
7/5/21,Sabah,12006
7/5/21,Sarawak,58753
7/5/21,Selangor,73308
7/5/21,Terengganu,10346
7/5/21,W.P. Kuala Lumpur,51222
7/5/21,W.P. Labuan,1723
7/5/21,W.P. Putrajaya,2239
7/6/21,Johor,18460
7/6/21,Kedah,12981
7/6/21,Kelantan,14853
7/6/21,Melaka,8474
7/6/21,Negeri Sembilan,15519
7/6/21,Pahang,10639
7/6/21,Perak,20944
7/6/21,Perlis,3154
7/6/21,Pulau Pinang,15973
7/6/21,Sabah,12466
7/6/21,Sarawak,63553
7/6/21,Selangor,87183
7/6/21,Terengganu,11140
7/6/21,W.P. Kuala Lumpur,53991
7/6/21,W.P. Labuan,1575
7/6/21,W.P. Putrajaya,2704
7/7/21,Johor,22895
7/7/21,Kedah,15052
7/7/21,Kelantan,16912
7/7/21,Melaka,9469
7/7/21,Negeri Sembilan,23032
7/7/21,Pahang,12060
7/7/21,Perak,23050
7/7/21,Perlis,4406
7/7/21,Pulau Pinang,13246
7/7/21,Sabah,13502
7/7/21,Sarawak,79715
7/7/21,Selangor,87524
7/7/21,Terengganu,10886
7/7/21,W.P. Kuala Lumpur,57328
7/7/21,W.P. Labuan,1626
7/7/21,W.P. Putrajaya,2566
7/8/21,Johor,23665
7/8/21,Kedah,15724
7/8/21,Kelantan,14665
7/8/21,Melaka,9143
7/8/21,Negeri Sembilan,22875
7/8/21,Pahang,11236
7/8/21,Perak,22147
7/8/21,Perlis,3309
7/8/21,Pulau Pinang,17510
7/8/21,Sabah,11969
7/8/21,Sarawak,75473
7/8/21,Selangor,91987
7/8/21,Terengganu,9671
7/8/21,W.P. Kuala Lumpur,53443
7/8/21,W.P. Labuan,2715
7/8/21,W.P. Putrajaya,2523
7/9/21,Johor,15548
7/9/21,Kedah,6446
7/9/21,Kelantan,447
7/9/21,Melaka,8850
7/9/21,Negeri Sembilan,21345
7/9/21,Pahang,7255
7/9/21,Perak,26054
7/9/21,Perlis,2381
7/9/21,Pulau Pinang,16729
7/9/21,Sabah,14730
7/9/21,Sarawak,69876
7/9/21,Selangor,97236
7/9/21,Terengganu,2515
7/9/21,W.P. Kuala Lumpur,53517
7/9/21,W.P. Labuan,2615
7/9/21,W.P. Putrajaya,2434
7/10/21,Johor,26091
7/10/21,Kedah,4677
7/10/21,Kelantan,1218
7/10/21,Melaka,8791
7/10/21,Negeri Sembilan,20718
7/10/21,Pahang,6136
7/10/21,Perak,24104
7/10/21,Perlis,2608
7/10/21,Pulau Pinang,11967
7/10/21,Sabah,16230
7/10/21,Sarawak,67070
7/10/21,Selangor,79187
7/10/21,Terengganu,12668
7/10/21,W.P. Kuala Lumpur,47594
7/10/21,W.P. Labuan,2524
7/10/21,W.P. Putrajaya,2216
7/11/21,Johor,19265
7/11/21,Kedah,8069
7/11/21,Kelantan,11309
7/11/21,Melaka,30
7/11/21,Negeri Sembilan,18433
7/11/21,Pahang,6128
7/11/21,Perak,19312
7/11/21,Perlis,2625
7/11/21,Pulau Pinang,10792
7/11/21,Sabah,13840
7/11/21,Sarawak,58994
7/11/21,Selangor,64602
7/11/21,Terengganu,9709
7/11/21,W.P. Kuala Lumpur,49277
7/11/21,W.P. Labuan,2274
7/11/21,W.P. Putrajaya,2238
7/12/21,Johor,21911
7/12/21,Kedah,16736
7/12/21,Kelantan,14494
7/12/21,Melaka,10413
7/12/21,Negeri Sembilan,20612
7/12/21,Pahang,12772
7/12/21,Perak,24970
7/12/21,Perlis,2802
7/12/21,Pulau Pinang,17860
7/12/21,Sabah,16524
7/12/21,Sarawak,87239
7/12/21,Selangor,99601
7/12/21,Terengganu,12122
7/12/21,W.P. Kuala Lumpur,68333
7/12/21,W.P. Labuan,2908
7/12/21,W.P. Putrajaya,2778
7/13/21,Johor,23032
7/13/21,Kedah,19645
7/13/21,Kelantan,16327
7/13/21,Melaka,10753
7/13/21,Negeri Sembilan,23814
7/13/21,Pahang,13004
7/13/21,Perak,11230
7/13/21,Perlis,3622
7/13/21,Pulau Pinang,20386
7/13/21,Sabah,20287
7/13/21,Sarawak,82223
7/13/21,Selangor,102536
7/13/21,Terengganu,12124
7/13/21,W.P. Kuala Lumpur,71274
7/13/21,W.P. Labuan,3061
7/13/21,W.P. Putrajaya,3149
7/14/21,Johor,21598
7/14/21,Kedah,21171
7/14/21,Kelantan,16790
7/14/21,Melaka,10754
7/14/21,Negeri Sembilan,24596
7/14/21,Pahang,14041
7/14/21,Perak,10568
7/14/21,Perlis,3749
7/14/21,Pulau Pinang,24575
7/14/21,Sabah,19151
7/14/21,Sarawak,80789
7/14/21,Selangor,118396
7/14/21,Terengganu,11914
7/14/21,W.P. Kuala Lumpur,71257
7/14/21,W.P. Labuan,2720
7/14/21,W.P. Putrajaya,2881
7/15/21,Johor,30493
7/15/21,Kedah,21139
7/15/21,Kelantan,17634
7/15/21,Melaka,13800
7/15/21,Negeri Sembilan,25238
7/15/21,Pahang,14955
7/15/21,Perak,17072
7/15/21,Perlis,4638
7/15/21,Pulau Pinang,25596
7/15/21,Sabah,19631
7/15/21,Sarawak,78614
7/15/21,Selangor,116252
