date,state,daily_partial,daily_full,daily,daily_partial_child,daily_full_child,cumul_partial,cumul_full,cumul,cumul_partial_child,cumul_full_child,pfizer1,pfizer2,sinovac1,sinovac2,astra1,astra2,cansino,pending
6/12/21,Johor,10310,8408,18718,1,0,282655,127030,409685,1,0,8355,1107,82,7282,1873,0,0,19
6/12/21,Kedah,1049,842,1891,0,0,195370,80894,276264,0,0,427,210,614,632,0,0,0,8
6/12/21,Kelantan,140,16,156,0,0,146587,65537,212124,0,0,42,0,98,16,0,0,0,0
6/12/21,Melaka,2034,503,2537,0,0,75919,38832,114751,0,0,592,8,1442,495,0,0,0,0
6/12/21,Negeri Sembilan,1180,88,1268,0,0,106731,64210,170941,1,0,291,16,889,72,0,0,0,0
6/12/21,Pahang,1272,4353,5625,0,0,146791,93007,239798,0,0,762,6,510,4347,0,0,0,0
6/12/21,Perak,4260,5148,9408,0,0,232582,127203,359785,1,0,4187,172,72,4974,0,0,0,3
6/12/21,Perlis,0,0,0,0,0,43260,22318,65578,0,0,0,0,0,0,0,0,0,0
6/12/21,Pulau Pinang,6078,10,6088,0,0,153179,78646,231825,0,0,2155,10,1836,0,2086,0,0,1
6/12/21,Sabah,12006,2017,14023,1,0,239569,109408,348977,6,0,9688,1744,2310,273,0,0,0,8
6/12/21,Sarawak,25447,8866,34313,2,0,307069,147094,454163,3,0,8882,8846,13845,12,2704,0,0,24
6/12/21,Selangor,13664,3468,17132,0,0,450265,172343,622608,1,0,1966,2046,7719,1421,3979,0,0,1
6/12/21,Terengganu,1897,2,1899,0,0,96357,59296,155653,0,0,1390,1,507,0,0,0,0,1
6/12/21,W.P. Kuala Lumpur,23107,234,23341,0,0,537225,126010,663235,4,0,825,210,12358,23,9924,1,0,0
6/12/21,W.P. Labuan,439,45,484,0,0,18212,13333,31545,0,0,439,45,0,0,0,0,0,0
6/12/21,W.P. Putrajaya,0,0,0,0,0,29378,16838,46216,0,0,0,0,0,0,0,0,0,0
6/13/21,Johor,12759,3539,16298,1,0,295414,130569,425983,2,0,10717,3351,11,188,2031,0,0,0
6/13/21,Kedah,4691,4596,9287,0,0,200061,85490,285551,0,0,3911,2491,775,2100,5,0,0,5
6/13/21,Kelantan,5314,3229,8543,0,0,151901,68766,220667,0,0,3792,316,1424,2912,98,0,0,1
6/13/21,Melaka,0,0,0,0,0,75919,38832,114751,0,0,0,0,0,0,0,0,0,0
6/13/21,Negeri Sembilan,898,0,898,0,0,107629,64210,171839,1,0,245,0,653,0,0,0,0,0
6/13/21,Pahang,1413,76,1489,0,0,148204,93083,241287,0,0,1413,72,0,4,0,0,0,0
